Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/babel-plugin-named-asset-import/index.js replaceMatchingSpecifiers 66 8 195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 419 36 1089 =======> 0.474838912487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 425 12 1091 =======> 0.436827570200
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 468 15 1139 =======> 0.355684071779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 474 12 1141 =======> 0.410118669271
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 505 13 1180 =======> 0.358195394278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 521 29 1205 =======> 0.424290895462
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 522 38 1208 =======> 0.376923859119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js getInstallPackage 547 0 1243 =======> 0.478297114372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 584 14 1287 =======> 0.350542366505
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js getTemplateInstallPackage 597 0 1296 =======> 0.990931391716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js getTemporaryDirectory 644 0 1341 =======> 0.554947316647
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 645 21 1345 =======> 0.706668198109
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 648 37 1350 =======> 0.530276358128
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 654 19 1359 =======> 0.237328082323
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js extractStream 668 0 1364 =======> 0.608634710312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 669 21 1370 =======> 0.697969198227
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 671 19 1374 =======> 0.450873255730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js getPackageInfo 683 0 1378 =======> 0.772202312946
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 686 12 1387 =======> 0.330780059099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 693 54 1399 =======> 0.299475997686
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 695 12 1400 =======> 0.461418807507
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 703 13 1408 =======> 0.475974231958
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkNpmVersion 743 0 1457 =======> 0.542837560177
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkYarnVersion 758 0 1468 =======> 0.516694486141
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkNodeVersion 790 0 1498 =======> 0.543629050255
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkAppName 821 0 1521 =======> 0.369291633368
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 834 14 1545 =======> 0.443268060684
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 851 36 1575 =======> 0.564037859440
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js makeCaretRange 858 0 1582 =======> 0.727242350578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js setCaretRangeForRuntimeDeps 880 0 1610 =======> 0.476534873247
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js isSafeToCreateProjectIn 906 0 1635 =======> 0.506173133850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 932 21 1644 =======> 0.785852849483
