Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/benchmark/parse-100k-blog-rows.js createPacketBuffer 27 4 183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js wrapToDomain 521 0 972 =======> 0.829847157001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 522 9 974 =======> 0.536976158619
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js ConnectionConfig 7 0 997 =======> 0.435360848904
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js mergeFlags 66 30 1053 =======> 0.638483822346
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getCharsetNumber 89 36 1071 =======> 0.672727942467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getDefaultFlags 99 35 1081 =======> 0.430284500122
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getSSLProfile 133 33 1091 =======> 0.455148041248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js parseFlagList 147 33 1101 =======> 0.698916137218
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js nan 179 28 1136 =======> 0.559793293476
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js Protocol 10 0 2943 =======> 0.137690514326
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 37 27 2977 =======> 0.555801630020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js handshake 42 31 2982 =======> 0.422783404589
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js query 58 27 2996 =======> 0.284435123205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js changeUser 62 32 3002 =======> 0.353561818600
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js ping 66 26 3008 =======> 0.444732934237
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js stats 75 27 3017 =======> 0.384695410728
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js quit 84 26 3026 =======> 0.199339941144
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 93 21 3038 =======> 0.668534278870
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 100 25 3042 =======> 0.516950845718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 119 27 3059 =======> 0.575824141502
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 128 28 3066 =======> 0.559916377068
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 137 30 3071 =======> 0.632613301277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 152 17 3088 =======> 0.522133648396
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 155 18 3090 =======> 0.695125341415
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 159 19 3097 =======> 0.387241721153
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 170 29 3107 =======> 0.710746705532
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 172 33 3111 =======> 0.639915704727
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 186 23 3119 =======> 0.406009227037
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 195 21 3124 =======> 0.684548079967
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js _validateEnqueue 207 38 3134 =======> 0.311288505793
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 231 23 3149 =======> 0.530353903770
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 235 19 3154 =======> 0.591100454330
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 242 34 3157 =======> 0.458509832621
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js _parsePacketDebug 294 39 3199 =======> 0.479456543922
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 302 33 3203 =======> 0.570058286190
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 312 38 3213 =======> 0.602792680264
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 331 30 3236 =======> 0.669612169266
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 352 36 3250 =======> 0.614632189274
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 364 40 3260 =======> 0.507182896137
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js handleParserError 375 39 3265 =======> 0.295754313469
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 384 36 3270 =======> 0.778632998466
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 402 21 3282 =======> 0.414601206779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 403 20 3285 =======> 0.620785295963
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 416 42 3289 =======> 0.426560521126
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 428 46 3302 =======> 0.503160834312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 429 26 3306 =======> 0.727181315422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 434 29 3310 =======> 0.543229997158
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 445 34 3317 =======> 0.407444983721
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js Query 12 0 6285 =======> 0.363082587719
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 29 24 6305 =======> 0.538096070290
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js determinePacket 33 34 6311 =======> 0.199965596199
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 62 30 6349 =======> 0.287642270327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 78 33 6362 =======> 0.420236080885
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 95 46 6376 =======> 0.223652228713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 107 43 6392 =======> 0.372084438801
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 111 33 6394 =======> 0.533034741879
