/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 132 17 459 =======> 0.944540321827
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 135 29 469 =======> 0.041576698422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 148 16 483 =======> 0.968811988831
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 162 17 496 =======> 0.985154569149
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js escapeChar 14 0 2784 =======> 0.000057659185
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js extend 18 7 2789 =======> 0.853758811951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isFunction 34 7 2812 =======> 0.956148147583
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js testTag 38 0 2817 =======> 0.137597888708
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js nan 40 9 2823 =======> 0.042500872165
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js indexOf 52 7 2841 =======> 0.747009992599
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js escapeExpression 61 7 2853 =======> 0.461267709732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isEmpty 84 7 2876 =======> 0.980625987053
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js createFrame 94 7 2886 =======> 0.897484898567
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js prepend 143 4 480
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 20 15 330 =======> 0.047905303538
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 28 9 341 =======> 0.969580948353
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 34 13 347 =======> 0.697611093521
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 40 27 352 =======> 0.258838564157
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 43 14 358 =======> 0.846614778042
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js castChunk 49 0 360 =======> 0.209070637822
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js CodeGen 64 0 386 =======> 0.723688662052
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 70 9 392 =======> 0.767938435078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 73 11 395 =======> 0.640880823135
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 76 8 399 =======> 0.688614666462
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 80 9 403 =======> 0.743360877037
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 82 14 409 =======> 0.817388474941
