/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 198 76 1202 =======> 0.164389267564
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 199 50 1204 =======> 0.986331820488
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 200 37 1206 =======> 0.000000449464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 207 86 1214 =======> 0.093747645617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 208 72 1217 =======> 0.986622989178
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 209 37 1219 =======> 0.000000633970
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 216 75 1227 =======> 0.069462075830
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 217 52 1229 =======> 0.979955613613
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 218 37 1231 =======> 0.000000625363
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 225 85 1239 =======> 0.047106474638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 226 76 1242 =======> 0.968578755856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 227 37 1244 =======> 0.000000646223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 236 103 1252 =======> 0.047105487436
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 237 70 1255 =======> 0.968579113483
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 238 37 1257 =======> 0.000000646183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 247 79 1265 =======> 0.000014227708
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 248 77 1267 =======> 0.059328254312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 249 60 1270 =======> 0.934528768063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 250 39 1272 =======> 0.000000574374
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 257 66 1279 =======> 0.094312757254
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 258 54 1281 =======> 0.942651450634
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 259 39 1283 =======> 0.000000559700
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 266 76 1290 =======> 0.059328280389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 267 73 1293 =======> 0.934528768063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 268 39 1295 =======> 0.000000574373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 276 61 1302 =======> 0.000018434697
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 277 60 1304 =======> 0.097314573824
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 278 47 1306 =======> 0.942648351192
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 279 39 1308 =======> 0.000000559696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 286 66 1315 =======> 0.097300000489
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 287 53 1317 =======> 0.942649662495
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 288 39 1319 =======> 0.000000559702
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 295 69 1326 =======> 0.061227768660
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 296 73 1329 =======> 0.934513390064
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 297 39 1331 =======> 0.000000574371
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 304 99 1338 =======> 0.061227627099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 305 71 1341 =======> 0.934513390064
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 306 39 1343 =======> 0.000000574372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 313 99 1350 =======> 0.061067052186
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 314 67 1353 =======> 0.952021598816
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 315 39 1355 =======> 0.000000484586
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 323 55 1362 =======> 0.000018434750
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 324 60 1364 =======> 0.097051799297
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 325 47 1366 =======> 0.953969299793
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 326 39 1368 =======> 0.000000472314
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 333 66 1375 =======> 0.097300000489
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 334 54 1377 =======> 0.942649722099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 335 39 1379 =======> 0.000000559699
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 342 76 1386 =======> 0.061227567494
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 343 74 1389 =======> 0.934513270855
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 344 39 1391 =======> 0.000000574371
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 351 99 1398 =======> 0.061227567494
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 352 72 1401 =======> 0.934513151646
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 353 39 1403 =======> 0.000000574371
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 360 99 1410 =======> 0.061227567494
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 361 67 1413 =======> 0.934513270855
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 362 39 1415 =======> 0.000000574370
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 371 49 1422 =======> 0.000081065293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 374 17 1425 =======> 0.035412613302
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 375 40 1428 =======> 0.000020707790
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 381 70 1431 =======> 0.086558125913
