/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 190 26 670 =======> 0.100416094065
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 207 39 679 =======> 0.781494796276
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 210 22 685 =======> 0.003721973626
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 211 23 690 =======> 0.005897763185
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 216 12 696 =======> 0.084241390228
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 226 17 711 =======> 0.005040550139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 229 30 718 =======> 0.365437000990
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 242 19 742 =======> 0.334906876087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 250 10 756 =======> 0.769508421421
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 261 27 777 =======> 0.006295599975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 289 31 817 =======> 0.015937935561
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 301 15 829 =======> 0.876890301704
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 304 14 834 =======> 0.074210844934
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 307 13 838 =======> 0.580394446850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 310 18 842 =======> 0.974511623383
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 316 21 847 =======> 0.832940936089
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 322 21 856 =======> 0.070996701717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 330 26 865 =======> 0.065085299313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 331 23 869 =======> 0.000666891690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 351 71 892 =======> 0.555154323578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 372 47 922 =======> 0.055865492672
Total edge above 0.9 ===>  4


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js _directionToOrder 211 41 692
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 6 1 368 =======> 0.000001759242
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 10 10 403 =======> 0.004631071817
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 85 15 519 =======> 0.484497606754
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 100 22 540 =======> 0.000011128717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 103 26 543 =======> 0.000012168085
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 106 19 546 =======> 0.000002304134
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 111 8 550 =======> 0.117082856596
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 114 19 555 =======> 0.100519828498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 122 8 565 =======> 0.008617070504
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 125 9 568 =======> 0.292983800173
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 131 9 575 =======> 0.560989320278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 134 35 581 =======> 0.037504643202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 136 21 585 =======> 0.300615251064
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 141 52 592 =======> 0.291362196207
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 146 6 598 =======> 0.152144879103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 152 52 609 =======> 0.136165618896
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 162 11 626 =======> 0.000342538260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 170 21 633 =======> 0.012321933173
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 174 22 637 =======> 0.014045159332
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 176 54 641 =======> 0.010740902275
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 179 57 647 =======> 0.004134284332
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 180 57 650 =======> 0.007102572825
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 186 27 658 =======> 0.709846794605
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 188 47 665 =======> 0.149193599820
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 190 26 670 =======> 0.040406443179
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 207 39 679 =======> 0.003523634514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 210 22 685 =======> 0.432192265987
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 211 23 690 =======> 0.354521423578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 216 12 696 =======> 0.250807344913
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 226 17 711 =======> 0.159723952413
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 229 30 718 =======> 0.412426829338
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 242 19 742 =======> 0.045913625509
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 250 10 756 =======> 0.687993526459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 261 27 777 =======> 0.123736061156
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 289 31 817 =======> 0.006360348314
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 301 15 829 =======> 0.142463862896
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 304 14 834 =======> 0.004881137516
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 307 13 838 =======> 0.084694698453
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 310 18 842 =======> 0.015182338655
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 316 21 847 =======> 0.962073564529
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 322 21 856 =======> 0.100570037961
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 330 26 865 =======> 0.013849267736
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 331 23 869 =======> 0.049318049103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 351 71 892 =======> 0.632656693459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 372 47 922 =======> 0.181819304824
Total edge above 0.9 ===>  4


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js triggerEvent 269 25 790
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 6 1 368 =======> 0.343849748373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 10 10 403 =======> 0.869760990143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 85 15 519 =======> 0.000072747840
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 100 22 540 =======> 0.000632453244
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 103 26 543 =======> 0.000293684861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 106 19 546 =======> 0.001085881726
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 111 8 550 =======> 0.000013147516
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 114 19 555 =======> 0.000003349784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 122 8 565 =======> 0.000008306932
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 125 9 568 =======> 0.000046966448
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 131 9 575 =======> 0.000058477897
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 134 35 581 =======> 0.000005304252
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 136 21 585 =======> 0.000041032908
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 141 52 592 =======> 0.001045509824
