Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nearer 990 0 1635 =======> 0.085200250149
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isPromise 1005 0 1643 =======> 0.128253161907
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isPromiseAlike 1010 0 1645 =======> 0.967640399933
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isPending 1019 0 1650 =======> 0.037303529680
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1023 30 1654 =======> 0.043637897819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isFulfilled 1032 0 1658 =======> 0.012212550268
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1036 32 1663 =======> 0.043637897819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isRejected 1044 0 1667 =======> 0.007702054922
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1048 31 1671 =======> 0.043637897819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js resetUnhandledRejections 1063 0 1685 =======> 0.941691458225
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js trackRejection 1072 0 1689 =======> 0.927331030369
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1077 28 1699 =======> 0.150763615966
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js untrackRejection 1093 0 1710 =======> 0.232053607702
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1101 32 1724 =======> 0.282297730446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1116 24 1736 =======> 0.013433366083
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1121 35 1740 =======> 0.422996342182
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js reject 1135 0 1743 =======> 0.979583561420
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1137 16 1748 =======> 0.954549312592
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js fallback 1144 7 1754 =======> 0.582481563091
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js inspect 1146 7 1756 =======> 0.559363961220
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js fulfill 1161 0 1761 =======> 0.817776501179
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1163 16 1765 =======> 0.169879674911
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1166 15 1767 =======> 0.150105997920
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1169 15 1769 =======> 0.332804024220
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1172 18 1771 =======> 0.138718456030
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1175 16 1773 =======> 0.915339708328
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1184 17 1781 =======> 0.726054072380
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1187 16 1784 =======> 0.787452161312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js inspect 1190 15 1788 =======> 0.778374254704
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js coerce 1200 0 1791 =======> 0.875363886356
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1202 15 1795 =======> 0.986009299755
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js master 1222 0 1802 =======> 0.054957546294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1224 17 1806 =======> 0.008051794022
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js fallback 1225 7 1807 =======> 0.796026289463
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1227 7 1811 =======> 0.386650681496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js spread 1243 0 1815 =======> 0.584479928017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1247 27 1819 =======> 0.047570154071
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1248 27 1823 =======> 0.190866455436
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js async 1280 0 1829 =======> 0.445521950722
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1281 11 1832 =======> 0.926696956158
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js continuer 1284 8 1833 =======> 0.000224173869
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js spawn 1337 0 1873 =======> 0.349080950022
