Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js dateNow 184 22 1132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1780 49 3917 =======> 0.000381905091
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1786 91 3925 =======> 0.000097320568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1802 33 3956 =======> 0.000104139915
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js w 1803 8 3957 =======> 0.000632357784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js simpleCb 1806 8 3962 =======> 0.000034117711
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1811 19 3971 =======> 0.000237699409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1816 43 3977 =======> 0.000388247805
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1821 18 3982 =======> 0.000300730142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js _waitFor 1826 8 3985 =======> 0.000271688972
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js isSpyReady 1827 10 3987 =======> 0.000072657574
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js finish 1831 10 3992 =======> 0.000377732620
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1837 31 3999 =======> 0.000085346823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1843 81 4005 =======> 0.000112228860
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1848 24 4014 =======> 0.000048533740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1850 28 4018 =======> 0.000153974557
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1854 16 4025 =======> 0.000044012053
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1858 36 4029 =======> 0.000059547325
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1862 56 4035 =======> 0.000198494730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1877 25 4040 =======> 0.000169284001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1878 42 4042 =======> 0.000202656462
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1886 64 4059 =======> 0.000142335324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1899 22 4077 =======> 0.000176458532
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1900 15 4079 =======> 0.000097222706
