/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js func 6 15 28289 =======> 0.012555947527
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js nan 7 29 28298 =======> 0.011684906669
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js func 6 15 28321 =======> 0.007267605979
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js nan 7 29 28330 =======> 0.011768633500
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/not-equal.js func 3 15 28347 =======> 0.000613772485
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/power.js func 6 15 28363 =======> 0.002754681278
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 57 0 28073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.000012944810
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.000033290904
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.816908419132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.999779164791
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.836456060410
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js func 6 15 28095 =======> 0.073392659426
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js nan 7 29 28104 =======> 0.121964626014
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js func 3 15 28121 =======> 0.031878996640
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js nan 4 23 28128 =======> 0.255962014198
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js func 6 15 28146 =======> 0.113561324775
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js nan 7 29 28155 =======> 0.123067632318
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/equal.js func 3 15 28176 =======> 0.004375095945
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js func 7 15 28195 =======> 0.924503087997
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js __formulaFunction 8 9 28199 =======> 0.999789774418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than-or-equal.js func 3 15 28243 =======> 0.003712058999
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than.js func 3 15 28253 =======> 0.002658569952
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than-or-equal.js func 3 15 28263 =======> 0.003410810838
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than.js func 3 15 28273 =======> 0.003712115344
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js func 6 15 28289 =======> 0.074234634638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js nan 7 29 28298 =======> 0.121953077614
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js func 6 15 28321 =======> 0.041192241013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js nan 7 29 28330 =======> 0.122728548944
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/not-equal.js func 3 15 28347 =======> 0.003021697747
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/power.js func 6 15 28363 =======> 0.023353070021
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 58 0 28074
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.000003412955
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.000010120509
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.579867899418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.999555885792
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.613470733166
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js func 6 15 28095 =======> 0.024437353015
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js nan 7 29 28104 =======> 0.029248224571
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js func 3 15 28121 =======> 0.009720949456
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js nan 4 23 28128 =======> 0.069057695568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js func 6 15 28146 =======> 0.037131339312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js nan 7 29 28155 =======> 0.029540909454
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/equal.js func 3 15 28176 =======> 0.001308275387
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js func 7 15 28195 =======> 0.793310225010
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js __formulaFunction 8 9 28199 =======> 0.999505519867
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than-or-equal.js func 3 15 28243 =======> 0.001155170496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than.js func 3 15 28253 =======> 0.000808054756
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than-or-equal.js func 3 15 28263 =======> 0.001081217080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than.js func 3 15 28273 =======> 0.001155168866
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js func 6 15 28289 =======> 0.024732682854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js nan 7 29 28298 =======> 0.029245154932
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js func 6 15 28321 =======> 0.013404940255
