Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js getPropKey 141 22 288
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isContextTypesDeclaration 29 0 22230 =======> 0.545221209526
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isContextTypeDeclaration 44 0 22237 =======> 0.000015083322
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isChildContextTypesDeclaration 53 0 22241 =======> 0.010058719665
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isDefaultPropsDeclaration 62 0 22245 =======> 0.006969231647
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isDisplayNameDeclaration 72 0 22251 =======> 0.973696291447
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/props.js isRequiredPropType 91 0 22264 =======> 0.011040533893
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/report.js report 5 17 22279 =======> 0.587786674500
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js validatePropNaming 315 10 434
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 64 28 230 =======> 0.006888691336
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js getPropKey 83 4 248 =======> 0.043200813234
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js getPropName 111 4 267 =======> 0.917119920254
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js flowCheck 127 4 277 =======> 0.235351264477
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js regularCheck 140 4 284 =======> 0.448885500431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js tsCheck 149 4 294 =======> 0.498984009027
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nestedPropTypes 164 4 304 =======> 0.424846202135
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js runCheck 176 4 307 =======> 0.437004536390
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 177 32 314 =======> 0.165996357799
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js validatePropNaming 193 4 325 =======> 0.922977149487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 197 26 335 =======> 0.168526127934
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js reportInvalidNaming 210 4 341 =======> 0.305564790964
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 211 37 344 =======> 0.002216336085
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js checkPropWrapperArguments 224 4 355 =======> 0.513954460621
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 228 18 368 =======> 0.000565586903
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 228 68 370 =======> 0.107982948422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js getComponentTypeAnnotation 231 4 372 =======> 0.311336547136
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 261 10 393 =======> 0.078788898885
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js findAllTypeAnnotations 266 4 395 =======> 0.685511946678
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 280 42 410 =======> 0.011738076806
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 289 27 414 =======> 0.012282938696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 300 41 418 =======> 0.025291603059
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 322 22 438 =======> 0.126821175218
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 344 22 461 =======> 0.008225350641
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 350 32 466 =======> 0.230507969856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 358 15 473 =======> 0.002516981214
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 362 28 476 =======> 0.002901888220
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 367 20 478 =======> 0.001348048914
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 372 42 486 =======> 0.018130751327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/rules/boolean-prop-naming.js nan 386 42 503 =======> 0.163774579763
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/Components.js getId 25 0 18565 =======> 0.992246389389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/Components.js usedPropTypesAreEquivalent 29 0 18575 =======> 0.039387006313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/Components.js mergeUsedPropTypes 42 0 18597 =======> 0.552845597267
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-react/lib/util/Components.js nan 43 41 18605 =======> 0.005386531819
